No.,Cup Dia GT,Cup Dia PRE,Disc Dia GT,Disc Dia PRE,CDR GT,CDR PRE,Inferior GT,Inferior PRE,Superior GT,Superior PRE,Nasal GT,Nasal PRE,Temporal GT,Temporal PRE,ISNT Followed PRED,ISNT FOllowed GT
17,38.0,39.54,59.94,65.15,0.63,0.61,42.15,51.9,56.95,54.77,47.35,46.57,44.99,43.7,False,False
18,75.58,66.0,58.76,62.39,1.29,1.06,50.76,57.96,51.17,49.84,56.37,53.17,33.35,32.77,False,False
19,54.0,54.0,54.0,48.0,1.0,1.12,39.59,37.91,49.83,42.75,40.66,33.87,33.44,36.74,False,False
20,0.0,33.6,140.0,128.0,0.0,0.26,79.7,54.99,80.94,60.25,73.28,54.66,73.25,48.81,False,False
21,75.18,42.0,46.74,130.0,1.61,0.32,41.89,53.16,39.15,62.37,32.7,57.24,26.01,43.37,False,True
22,107.45,90.0,33.97,43.15,3.16,2.09,28.15,37.84,29.54,38.15,23.93,34.6,20.47,23.51,False,False
23,0.0,43.54,139.18,126.0,0.0,0.35,85.23,50.74,88.76,57.08,74.67,45.47,76.0,46.84,False,False
24,78.0,70.0,48.33,50.79,1.61,1.38,42.41,48.76,46.15,48.71,38.4,40.36,42.2,38.96,True,False
25,106.0,88.0,55.97,54.73,1.89,1.61,45.13,43.49,48.08,59.33,39.9,38.59,53.85,44.86,False,False
26,0.0,37.99,130.0,130.0,0.0,0.29,79.47,53.68,79.96,62.56,69.01,51.14,73.46,46.65,False,False
27,83.48,74.0,64.31,60.74,1.3,1.22,59.57,59.98,49.71,47.18,49.8,44.53,35.16,41.77,True,False
28,49.94,54.0,65.91,57.15,0.76,0.94,57.66,48.6,62.76,54.25,59.21,47.29,31.57,35.72,False,False
29,44.0,54.0,60.39,62.39,0.73,0.87,57.39,59.76,55.11,48.34,49.68,48.48,45.79,44.15,False,True
30,48.0,50.0,59.58,63.94,0.81,0.78,55.88,57.26,50.86,58.83,46.35,50.7,43.27,39.43,False,True
31,0.0,52.0,144.39,148.0,0.0,0.35,97.5,64.16,93.61,69.12,81.25,63.86,75.72,40.33,False,True
32,73.97,64.0,60.0,50.39,1.23,1.27,51.69,49.07,55.31,49.12,43.2,44.29,45.19,42.31,False,False
33,45.18,54.0,48.79,53.58,0.93,1.01,44.84,39.34,46.0,51.64,40.64,40.39,36.87,33.83,False,False
34,0.0,37.56,137.97,138.0,0.0,0.27,88.43,60.64,88.44,58.54,74.82,54.98,75.87,51.88,True,False
35,0.0,0.0,122.0,140.0,0.0,0.0,94.74,103.45,93.84,101.78,71.4,82.65,73.39,82.27,True,False
36,0.0,0.0,138.0,130.0,0.0,0.0,86.79,84.28,86.37,84.16,73.56,72.43,71.62,69.53,True,True
37,0.0,0.0,122.0,120.0,0.0,0.0,86.24,83.81,86.03,82.93,68.97,64.16,72.29,73.34,False,False
38,79.58,78.0,56.0,58.33,1.42,1.34,55.12,56.32,41.78,50.72,36.49,47.19,46.54,46.15,True,False
39,0.0,0.0,179.58,144.0,0.0,0.0,103.69,87.39,104.46,88.72,92.97,75.0,92.52,80.35,False,False
40,54.0,48.0,50.33,51.94,1.07,0.92,47.81,49.36,44.35,48.25,42.61,47.14,37.5,31.78,True,True
41,54.39,56.0,68.39,59.12,0.8,0.95,53.51,54.99,62.91,55.52,59.0,51.5,44.03,39.26,False,False
42,66.0,72.0,75.97,67.91,0.87,1.06,67.97,67.54,52.1,51.33,47.84,49.86,47.3,49.95,False,True
43,98.0,88.0,58.33,57.12,1.68,1.54,44.17,47.48,52.91,51.54,49.49,51.98,29.01,38.61,False,False
44,0.0,0.0,190.0,180.0,0.0,0.0,120.53,109.69,120.4,108.87,103.98,95.09,100.19,96.56,False,True
45,68.0,58.0,66.0,59.97,1.03,0.97,51.61,46.14,56.41,53.34,21.42,27.8,40.65,32.96,False,False
46,48.0,56.34,57.15,140.21,0.84,0.4,51.25,50.36,55.19,56.65,49.22,53.14,36.37,34.1,False,False
47,64.31,78.0,61.18,48.0,1.05,1.62,59.86,48.02,51.31,42.03,50.87,51.01,45.49,33.23,False,True
48,84.0,92.0,51.97,45.94,1.62,2.0,43.92,44.03,41.16,39.21,52.45,42.62,25.36,27.31,False,False
49,53.94,54.0,53.97,54.75,1.0,0.99,47.52,51.13,51.72,47.03,42.56,47.76,44.68,44.53,False,False
50,119.84,112.0,42.39,49.58,2.83,2.26,27.62,45.52,20.41,43.02,7.33,32.89,34.8,31.36,True,False
51,50.0,48.0,44.0,61.12,1.14,0.79,43.66,50.6,41.98,48.64,40.78,42.39,35.93,39.09,True,True
52,87.48,84.79,54.0,60.0,1.62,1.41,48.24,43.52,49.33,55.13,40.97,49.46,40.24,32.89,False,False
53,55.94,44.0,64.76,53.54,0.86,0.82,27.15,41.41,59.82,47.59,31.05,29.4,28.61,30.45,False,False
54,69.58,72.0,55.53,57.54,1.25,1.25,52.47,55.15,48.7,46.05,51.97,48.4,41.03,42.49,False,False
55,63.58,54.0,56.73,57.97,1.12,0.93,56.37,52.98,50.12,52.75,51.87,49.5,29.92,37.49,True,False
56,0.0,0.0,190.0,158.0,0.0,0.0,126.29,100.29,125.1,99.63,103.33,88.54,106.13,85.84,True,False
57,0.0,0.0,156.79,146.0,0.0,0.0,99.49,98.36,98.51,94.72,83.88,81.68,80.98,83.96,False,True
58,0.0,0.0,120.79,131.42,0.0,0.0,71.8,73.23,71.32,73.2,64.83,70.34,63.91,67.61,True,True
59,95.07,93.99,49.94,49.94,1.9,1.88,45.61,50.32,35.21,45.67,35.32,45.51,34.58,37.35,True,False
60,0.0,32.0,124.0,126.0,0.0,0.25,84.12,48.93,86.72,63.21,70.01,58.46,68.56,43.72,False,False
61,58.0,49.94,66.33,60.73,0.87,0.82,43.34,53.29,61.69,57.11,49.72,45.66,32.3,47.27,False,False
62,66.0,54.0,60.73,57.15,1.09,0.94,55.62,55.58,47.08,48.51,40.36,45.62,43.8,40.86,True,False
63,66.0,56.33,55.97,72.39,1.18,0.78,46.46,52.27,51.61,60.19,39.68,43.35,45.55,48.65,False,False
64,67.58,60.0,44.39,45.96,1.52,1.31,41.76,44.36,32.98,42.99,37.57,44.85,33.73,34.04,False,False
65,0.0,56.0,158.0,83.09,0.0,0.67,104.14,57.93,100.98,65.32,85.04,66.49,84.94,41.68,False,True
66,89.09,76.0,62.72,68.0,1.42,1.12,34.83,60.22,53.48,56.78,63.92,55.94,8.03,23.27,True,False
67,74.3,62.0,55.53,57.54,1.34,1.08,45.55,55.61,50.8,48.68,47.36,53.79,28.55,35.33,False,False
68,56.0,54.0,61.6,61.51,0.91,0.88,54.27,58.91,58.7,54.08,59.07,54.61,42.78,39.24,False,False
69,57.18,68.0,70.33,63.58,0.81,1.07,53.7,45.54,68.76,61.37,55.38,50.83,56.64,40.96,False,False
70,57.12,52.0,55.97,58.0,1.02,0.9,51.56,52.66,52.79,53.05,39.86,44.55,43.8,39.73,False,False
71,69.51,75.18,62.72,61.15,1.11,1.23,60.12,54.47,56.31,56.9,60.76,54.71,43.02,41.74,False,False
72,83.09,72.0,52.39,47.94,1.59,1.5,47.96,44.49,44.6,45.07,35.81,41.97,37.35,34.87,False,False
73,67.91,72.0,65.58,58.73,1.04,1.23,63.48,57.67,59.45,57.35,64.24,59.19,40.15,41.12,False,False
74,0.0,58.0,116.0,58.39,0.0,0.99,79.1,49.76,80.12,47.03,63.6,45.04,67.49,25.45,True,False
75,50.79,46.0,66.33,122.0,0.77,0.38,61.8,52.14,49.02,57.72,43.81,48.13,42.11,38.62,False,True
76,67.51,70.0,75.12,66.0,0.9,1.06,68.82,66.4,66.14,56.26,49.93,49.2,54.4,49.31,False,False
77,90.0,70.0,54.33,60.0,1.66,1.17,50.56,54.79,43.46,55.71,45.85,50.9,26.96,44.36,False,False
78,89.48,62.0,47.15,50.0,1.9,1.24,42.14,51.52,37.22,45.34,28.37,46.03,35.12,42.73,False,False
79,52.0,39.59,58.73,136.21,0.89,0.29,54.01,64.55,47.85,63.94,46.64,52.43,44.46,53.52,False,True
80,41.97,48.0,71.91,61.58,0.58,0.78,56.37,50.04,68.02,55.29,62.95,48.16,38.09,40.4,False,False
81,66.79,60.0,70.3,59.97,0.95,1.0,57.03,55.49,66.85,55.78,59.99,56.46,34.9,38.06,False,False
82,50.0,58.0,61.18,60.0,0.82,0.97,58.82,57.87,56.06,54.31,50.7,53.42,36.27,37.42,True,True
83,0.0,37.58,131.42,129.97,0.0,0.29,76.18,52.05,74.47,59.28,68.39,48.06,69.7,48.36,False,False
84,68.79,60.0,66.0,56.0,1.04,1.07,62.12,53.44,57.95,53.67,45.34,49.7,50.91,43.94,False,False
85,64.0,60.0,58.39,54.75,1.1,1.1,56.2,54.22,41.22,47.78,40.71,46.07,40.18,43.14,True,True
86,63.51,58.0,67.11,62.33,0.95,0.93,64.36,58.43,49.53,55.18,49.08,53.1,39.4,41.79,True,True
87,73.18,58.0,62.79,58.76,1.17,0.99,55.96,57.48,54.96,56.73,64.57,53.28,18.54,30.86,True,False
88,59.18,58.0,58.79,58.73,1.01,0.99,53.1,56.12,54.78,53.19,43.78,47.49,39.56,38.2,True,False
89,84.39,74.0,61.97,48.0,1.36,1.54,55.56,46.75,40.43,42.96,44.04,43.85,36.66,42.99,False,False
90,66.0,54.0,62.0,65.58,1.06,0.82,57.72,58.88,59.08,61.75,54.06,53.48,43.04,49.85,False,False
91,61.15,66.0,51.18,49.97,1.19,1.32,48.4,49.21,42.62,41.29,38.76,44.23,42.41,32.53,False,False
92,0.0,0.0,126.0,116.0,0.0,0.0,92.29,88.37,90.88,86.56,72.04,70.72,72.2,67.89,True,False
93,0.0,47.6,126.63,126.0,0.0,0.38,77.67,56.02,77.59,44.84,66.34,40.93,66.58,45.81,False,False
94,81.58,78.0,75.51,65.12,1.08,1.2,62.6,63.78,67.9,58.18,79.67,64.2,26.04,30.84,False,False
95,80.0,64.0,64.4,56.73,1.24,1.13,45.89,50.73,55.51,52.7,57.62,48.94,32.22,36.12,False,False
96,70.79,64.0,64.39,56.33,1.1,1.14,51.24,51.68,59.54,49.45,50.57,47.45,37.5,37.1,True,False
97,0.0,42.34,132.0,136.0,0.0,0.31,86.98,59.08,87.26,62.68,74.9,49.18,72.41,52.85,False,False
98,57.12,54.0,54.33,56.79,1.05,0.95,51.43,49.72,51.94,52.69,46.69,49.1,45.26,37.65,False,False
99,75.58,53.15,62.72,64.0,1.2,0.83,53.5,58.68,50.37,51.77,36.81,48.6,61.62,42.33,True,False
100,32.39,42.0,64.73,55.96,0.5,0.75,60.4,50.18,48.51,49.95,43.9,36.87,42.62,41.51,False,True
101,39.18,54.0,60.0,47.54,0.65,1.14,46.45,41.51,49.24,40.87,59.32,39.46,37.98,36.01,True,False
102,53.58,62.0,63.58,54.76,0.84,1.13,42.14,39.43,60.36,52.07,48.7,41.54,41.34,35.67,False,False
103,65.91,56.0,48.0,59.92,1.37,0.93,45.56,51.34,44.2,54.04,38.64,47.26,39.99,36.48,False,False
104,74.69,74.0,42.79,44.8,1.75,1.65,43.54,43.33,37.84,41.55,40.84,40.92,32.68,26.81,True,False
105,74.0,78.0,50.33,46.0,1.47,1.7,46.29,45.76,33.82,37.59,37.23,36.39,33.26,34.58,True,False
106,54.0,60.0,59.12,58.0,0.91,1.03,49.4,55.35,54.5,49.06,41.49,40.19,42.63,45.29,False,False
107,40.76,52.0,56.39,47.94,0.72,1.08,56.04,46.34,51.75,46.51,37.34,32.44,56.18,46.8,False,False
108,50.79,52.0,54.79,60.73,0.93,0.86,49.09,39.6,48.93,51.22,39.88,36.68,36.88,38.85,False,True
109,57.58,50.0,61.13,62.0,0.94,0.81,53.41,60.47,57.38,58.47,39.18,49.32,51.41,42.65,True,False
110,36.36,40.39,62.39,134.0,0.58,0.3,56.06,52.57,59.99,58.83,52.11,54.71,48.7,46.26,False,False
111,56.73,44.0,56.0,81.18,1.01,0.54,44.01,49.15,51.78,63.67,33.62,47.97,38.06,40.38,False,False
112,91.49,58.0,58.39,61.15,1.57,0.95,48.75,62.21,54.46,54.84,46.07,55.01,26.07,39.01,False,False
113,69.12,69.58,53.97,55.97,1.28,1.24,50.57,50.24,38.38,47.17,32.26,51.71,43.93,39.05,False,False
114,88.0,81.09,54.36,50.74,1.62,1.6,52.18,44.77,46.97,46.92,48.44,49.15,28.91,33.17,False,False
115,45.54,42.36,74.3,78.36,0.61,0.54,53.92,56.75,68.57,68.83,57.72,57.15,37.21,48.68,False,False
116,54.73,53.54,55.18,58.33,0.99,0.92,52.15,53.94,47.31,49.56,38.63,48.7,45.58,42.46,True,False
117,0.0,0.0,77.49,82.3,0.0,0.0,74.35,78.73,83.52,78.19,53.69,56.07,53.01,52.62,True,False
118,0.0,0.0,113.45,124.0,0.0,0.0,81.09,85.23,80.54,87.88,66.53,71.61,63.1,72.43,False,True
119,82.69,78.0,52.73,53.54,1.57,1.46,49.5,51.23,36.55,38.72,47.09,42.15,28.37,33.86,False,False
120,43.16,44.0,49.54,54.79,0.87,0.8,46.0,49.98,44.44,47.12,37.23,39.86,41.12,38.66,True,False
121,0.0,34.0,94.76,89.97,0.0,0.38,102.32,63.42,94.28,62.45,61.16,23.02,72.19,54.15,False,False
122,39.58,52.0,55.97,48.79,0.71,1.07,53.0,43.83,45.9,40.12,48.22,38.72,38.95,32.57,True,False
123,43.16,50.0,55.15,49.97,0.78,1.0,45.76,42.91,51.88,45.08,43.76,41.36,44.06,43.52,False,False
124,64.73,56.0,60.0,59.15,1.08,0.95,54.9,58.85,58.45,52.77,47.16,82.35,48.78,43.66,False,False
125,0.0,0.0,146.0,128.0,0.0,0.0,85.9,72.49,84.62,74.28,78.69,67.94,75.01,67.29,False,True
126,69.91,58.0,48.36,49.19,1.45,1.18,44.23,40.81,37.13,44.16,35.38,41.48,34.82,39.1,False,True
127,53.58,52.0,86.76,62.0,0.62,0.84,82.03,59.48,71.21,56.93,66.96,50.8,69.87,59.17,False,False
128,63.18,59.92,57.12,75.51,1.11,0.79,47.73,70.02,52.21,55.94,44.36,53.62,40.44,43.94,True,False
129,0.0,40.36,130.0,126.0,0.0,0.32,77.88,55.21,77.12,65.04,68.36,51.03,67.93,44.46,False,True
130,0.0,44.0,142.66,144.79,0.0,0.3,92.2,65.84,92.85,61.12,75.18,48.66,77.85,60.54,False,False
131,99.58,92.0,48.33,37.15,2.06,2.48,12.74,29.04,40.67,23.38,29.61,33.45,11.19,12.62,False,False
132,56.0,62.39,71.18,52.33,0.79,1.19,69.2,55.03,46.39,46.97,47.51,42.44,51.42,44.02,False,False
133,82.0,74.0,40.79,51.13,2.01,1.45,36.85,48.67,40.34,44.51,34.44,41.13,31.79,29.86,True,False
134,56.0,46.0,49.18,57.94,1.14,0.79,47.65,45.05,44.61,53.11,42.43,44.27,22.87,37.97,False,True
135,48.0,66.0,56.34,50.74,0.85,1.3,54.3,22.62,48.31,34.42,52.12,35.3,23.32,19.49,False,False
136,42.39,54.0,63.58,62.0,0.67,0.87,60.9,56.94,61.46,55.62,53.21,45.65,47.76,42.81,True,False
137,54.0,48.0,57.94,62.79,0.93,0.76,55.8,61.57,53.3,55.39,44.61,50.93,50.38,45.58,True,False
138,62.73,54.0,60.39,62.72,1.04,0.86,53.29,57.7,49.86,54.93,50.71,47.78,38.28,37.67,True,False
139,0.0,32.39,164.57,134.0,0.0,0.24,92.21,52.72,90.26,66.57,84.55,58.83,86.0,46.38,False,False
140,41.18,48.0,65.97,54.36,0.62,0.88,61.8,55.91,56.55,55.84,46.46,57.72,49.48,41.25,False,False
141,72.0,60.0,63.94,63.12,1.13,0.95,51.27,64.58,60.05,63.64,49.67,58.18,39.29,42.75,True,False
142,60.0,56.0,49.97,48.33,1.2,1.16,47.46,47.04,44.58,44.65,42.33,43.46,38.46,35.71,True,True
143,42.0,50.0,82.0,74.3,0.51,0.67,71.92,54.07,80.36,66.1,75.75,64.53,51.91,46.85,False,False
144,0.0,46.0,140.0,141.97,0.0,0.32,86.02,61.17,87.94,66.4,76.77,78.13,73.39,39.63,False,False
145,108.0,58.0,47.17,62.0,2.29,0.94,31.7,60.55,45.43,56.13,35.32,53.67,22.15,46.28,True,False
146,0.0,0.0,136.0,122.0,0.0,0.0,87.29,86.23,84.91,90.38,71.47,71.53,77.05,73.14,False,False
147,0.0,35.15,120.0,122.0,0.0,0.29,82.09,56.84,80.3,53.09,65.47,46.17,67.01,47.44,False,False
148,65.12,52.73,62.0,71.12,1.05,0.74,60.36,60.93,59.15,54.77,57.78,60.93,51.13,52.04,False,True
149,92.27,61.51,46.74,51.13,1.97,1.2,35.79,40.72,31.89,47.69,20.76,45.44,42.41,39.34,False,False
150,0.0,37.97,143.97,128.0,0.0,0.3,107.62,78.78,107.71,68.22,83.62,59.41,85.84,51.38,True,False
151,64.0,60.0,62.39,64.31,1.03,0.93,59.29,59.56,51.88,52.35,46.87,51.0,47.3,36.32,True,False
152,37.97,48.0,60.79,53.93,0.62,0.89,60.46,50.6,51.02,48.27,52.04,48.82,41.35,36.85,False,False
153,53.18,58.0,52.73,47.97,1.01,1.21,45.37,45.76,50.8,49.34,43.2,41.52,43.05,40.8,False,False
154,57.12,54.0,59.58,61.12,0.96,0.88,47.57,52.34,54.11,55.02,49.05,45.93,42.93,43.34,False,False
155,37.15,62.0,97.91,62.36,0.38,0.99,94.63,53.85,79.37,66.64,56.51,56.82,78.15,36.95,False,False
156,0.0,46.0,122.0,84.0,0.0,0.55,76.03,47.85,77.94,60.19,66.5,48.98,66.34,41.89,False,False
157,72.3,60.0,51.15,48.33,1.41,1.24,34.5,46.16,47.83,44.59,39.23,43.11,32.54,35.3,True,False
158,60.79,52.0,41.15,42.34,1.48,1.23,38.42,40.46,37.32,39.44,36.65,36.39,30.68,35.74,True,True
159,64.79,52.0,66.0,67.94,0.98,0.77,61.01,64.42,55.47,64.65,51.31,61.45,41.82,43.77,False,True
160,64.0,58.0,58.0,59.97,1.1,0.97,53.2,51.25,44.23,55.13,41.73,45.9,35.99,37.02,False,True
161,74.0,58.0,57.12,54.36,1.3,1.07,47.77,49.79,55.15,52.64,48.28,49.04,37.27,41.33,False,False
162,0.0,41.54,128.0,128.0,0.0,0.32,84.4,52.09,86.47,56.47,71.25,50.28,70.28,43.09,False,False
163,0.0,39.15,119.97,120.0,0.0,0.33,86.12,56.76,85.82,68.73,69.81,47.3,66.4,51.96,False,True
164,43.94,50.0,66.36,70.0,0.66,0.71,32.65,37.16,48.91,57.71,11.6,17.1,52.4,38.26,False,False
165,47.94,60.0,76.69,54.73,0.63,1.1,73.35,50.05,48.05,47.94,59.21,42.76,45.91,39.22,True,False
166,81.58,70.0,58.79,56.39,1.39,1.24,52.94,46.07,54.78,52.97,53.61,49.16,33.26,41.03,False,False
167,0.0,34.36,118.24,120.0,0.0,0.29,79.0,54.61,78.28,54.55,64.31,47.55,64.87,45.54,True,False
168,0.0,46.39,139.97,138.0,0.0,0.34,85.83,59.43,86.26,61.53,74.07,43.51,74.06,57.61,False,False
169,0.0,43.15,137.18,138.0,0.0,0.31,83.76,57.8,84.25,59.39,73.39,47.81,75.22,50.73,False,False
170,66.0,64.0,51.58,50.36,1.28,1.27,37.65,33.44,37.25,42.82,52.71,39.81,16.94,23.57,False,False
171,0.0,33.56,140.0,132.0,0.0,0.25,81.84,51.19,82.44,55.7,73.5,53.35,73.14,51.41,False,False
172,60.0,69.97,47.94,50.36,1.25,1.39,42.98,49.74,39.43,44.93,30.45,42.02,42.38,36.68,True,False
173,50.0,46.0,57.97,60.0,0.86,0.77,52.89,53.96,53.99,54.58,39.19,43.92,46.38,41.82,False,False
174,90.0,77.58,73.51,69.91,1.22,1.11,63.62,62.71,63.21,64.47,53.85,60.7,42.53,40.89,False,True
175,70.0,66.0,69.51,54.73,1.01,1.21,65.13,56.68,49.86,49.96,51.3,52.38,48.2,43.51,False,False
176,54.79,44.0,68.76,71.97,0.8,0.61,77.55,62.43,71.52,67.27,35.12,39.43,63.58,49.33,False,False
177,78.39,68.0,53.58,48.0,1.46,1.42,41.16,39.99,50.35,46.86,32.64,36.57,50.74,37.58,False,False
178,74.0,68.0,60.0,62.76,1.23,1.08,35.12,46.57,49.84,57.82,63.77,55.45,16.86,25.23,False,False
179,53.54,56.0,67.12,60.73,0.8,0.92,61.17,50.67,62.39,55.66,56.6,59.29,50.76,39.79,False,False
180,90.68,78.0,48.76,47.6,1.86,1.64,45.95,47.17,39.83,44.09,37.04,43.59,28.79,45.1,False,True
181,81.09,80.0,55.53,47.94,1.46,1.67,51.63,47.74,41.27,44.38,42.33,45.54,35.09,33.38,False,False
182,72.39,72.0,67.12,55.97,1.08,1.29,59.22,55.65,50.65,45.91,40.36,47.24,54.46,44.95,False,False
183,0.0,0.0,120.0,114.0,0.0,0.0,80.33,84.74,80.19,82.65,67.22,70.03,67.8,64.74,True,False
184,66.79,50.33,57.12,49.15,1.17,1.02,34.42,43.02,53.71,45.44,46.3,46.88,29.28,36.43,False,False
185,0.0,0.0,155.58,141.42,0.0,0.0,103.7,87.08,103.68,87.41,84.23,73.53,86.14,83.06,False,False
186,65.97,62.0,56.33,60.0,1.17,1.03,54.61,59.68,55.18,53.9,48.72,51.7,45.48,46.1,True,False
187,48.0,42.0,64.73,135.81,0.74,0.31,56.58,57.68,61.02,59.33,50.77,51.36,45.65,52.07,False,False
188,88.0,84.0,45.14,49.15,1.95,1.71,40.77,45.82,35.15,39.81,38.88,38.12,26.76,28.36,True,False
189,63.12,56.0,54.75,67.97,1.15,0.82,45.8,53.6,53.7,59.48,52.5,54.47,30.84,40.41,False,False
190,72.3,48.36,55.57,93.99,1.3,0.51,50.34,57.45,48.0,54.5,39.84,50.54,51.5,53.98,False,False
191,52.33,41.57,54.0,76.0,0.97,0.55,50.58,49.12,50.88,52.51,43.96,45.47,45.99,46.88,False,False
192,52.33,46.0,60.33,58.76,0.87,0.78,52.11,46.21,54.31,55.6,37.76,43.47,49.44,41.81,False,False
193,68.0,58.0,65.91,57.94,1.03,1.0,44.22,53.36,60.32,56.1,55.05,52.22,42.17,38.91,False,False
194,63.51,56.0,67.58,73.51,0.94,0.76,63.68,60.18,62.71,66.7,55.24,59.99,45.13,42.08,False,True
195,41.15,38.0,54.79,62.0,0.75,0.61,39.9,40.69,53.96,53.25,41.03,48.32,48.63,36.12,False,False
196,82.0,80.0,68.0,51.13,1.21,1.56,59.48,51.12,63.9,48.79,48.55,45.19,48.6,41.64,True,False
197,0.0,47.18,133.18,139.97,0.0,0.34,83.54,52.96,83.22,61.97,72.2,50.6,69.99,45.41,False,True
198,0.0,0.0,107.97,118.24,0.0,0.0,72.31,80.46,72.4,74.89,58.95,69.62,61.34,62.99,True,False
199,63.97,60.0,56.79,62.0,1.13,0.97,51.62,62.36,32.89,45.98,40.58,47.82,29.79,38.15,False,False
200,58.39,50.0,64.39,64.0,0.91,0.78,59.66,62.33,58.61,54.22,54.79,54.37,42.28,43.75,False,True
201,0.0,44.0,134.0,125.18,0.0,0.35,87.54,56.01,87.82,61.0,74.65,50.16,72.27,42.47,False,False
202,59.97,52.0,59.12,56.0,1.01,0.93,55.84,53.98,56.16,50.53,51.93,50.53,31.03,31.17,False,False
203,49.94,44.39,51.56,54.0,0.97,0.82,45.94,52.49,45.24,49.13,29.28,42.59,44.98,34.37,True,False
204,86.0,76.0,47.54,42.78,1.81,1.78,45.63,46.56,39.02,38.13,36.67,42.11,38.43,36.06,False,False
